 ,Area,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.156,1.425,48.939,1.489,0.465,0.465,0.448,0.443,146.310,0.965,0.543,527,16,120.964,0.465,1.013,0.987,0.857
2,0.208,1.611,82.992,1.954,0.465,0.558,0.580,0.456,125.291,1.000,0.671,892,21,123.690,0.465,1.272,0.786,0.906
3,1.065,3.857,52.382,2.605,1.210,1.210,1.192,1.138,98.128,0.899,1.296,568,41,68.962,1.196,1.048,0.954,0.904
4,0.268,1.797,40.007,3.629,0.651,0.465,0.685,0.499,0.000,1.000,0.709,430,40,156.801,0.465,1.372,0.729,0.939
5,0.156,1.348,54.987,4.373,0.465,0.372,0.491,0.404,0.000,1.000,0.543,591,47,149.036,0.372,1.218,0.821,0.947
6,0.320,2.246,76.014,6.234,0.837,0.558,0.959,0.425,25.036,0.798,1.006,817,73,33.690,0.499,2.256,0.443,0.881
7,0.944,3.539,26.237,7.908,1.116,1.116,1.270,0.946,128.004,0.946,1.342,284,85,123.690,1.006,1.342,0.745,0.916
8,0.390,2.301,54.987,7.908,0.744,0.651,0.882,0.562,35.497,0.925,0.989,591,92,41.186,0.645,1.569,0.637,0.928
9,0.528,2.641,11.537,13.212,0.837,0.837,0.919,0.732,42.844,0.951,1.006,126,151,56.310,0.789,1.255,0.797,0.904
10,1.480,4.678,3.908,14.607,1.303,1.582,1.620,1.164,105.368,0.850,1.657,44,158,128.157,1.198,1.392,0.718,0.902
11,0.580,2.850,31.820,16.189,0.930,0.930,1.063,0.695,40.239,0.898,1.136,342,182,34.992,0.789,1.530,0.654,0.882
12,0.078,0.976,74.153,17.398,0.372,0.279,0.365,0.272,20.301,1.000,0.416,797,189,26.565,0.279,1.340,0.746,0.857
13,0.424,2.400,36.844,18.329,0.744,0.837,0.894,0.604,52.783,0.925,0.958,397,206,60.945,0.658,1.480,0.676,0.883
14,1.472,4.756,52.568,20.004,1.582,1.396,1.684,1.113,30.465,0.818,1.790,565,226,27.897,1.193,1.514,0.661,0.902
15,0.398,2.323,28.098,21.213,0.837,0.651,0.831,0.610,22.496,0.927,0.883,302,233,18.435,0.651,1.361,0.735,0.885
16,2.865,9.874,59.173,21.213,3.442,1.768,3.172,1.150,11.158,0.369,3.751,636,245,23.385,1.510,2.757,0.363,0.660
17,0.268,1.820,81.875,22.144,0.651,0.558,0.688,0.497,19.198,1.000,0.750,880,243,29.745,0.558,1.386,0.722,0.873
18,0.139,1.293,6.327,22.702,0.372,0.465,0.467,0.378,117.990,1.000,0.543,68,244,120.964,0.372,1.234,0.810,0.889
19,0.727,3.440,4.280,23.539,1.303,0.744,1.403,0.660,6.106,0.772,1.383,46,259,19.654,0.732,2.126,0.470,0.880
20,0.320,2.323,45.217,23.725,0.651,0.837,0.943,0.432,65.042,0.746,0.958,487,264,60.945,0.499,2.183,0.458,0.822
21,1.567,4.547,43.171,24.097,1.489,1.303,1.504,1.326,173.491,0.952,1.625,464,261,156.371,1.303,1.134,0.882,0.948
22,1.420,4.492,17.212,24.656,1.489,1.303,1.519,1.190,25.338,0.884,1.708,185,277,29.358,1.287,1.276,0.784,0.911
23,0.190,1.534,63.639,24.842,0.465,0.465,0.513,0.473,22.357,1.000,0.596,684,268,141.340,0.465,1.083,0.923,0.936
24,0.225,1.611,92.575,24.935,0.558,0.465,0.582,0.492,0.000,1.000,0.624,995,269,153.435,0.465,1.184,0.845,0.929
25,0.589,2.882,37.402,27.075,1.023,0.744,1.093,0.686,19.145,0.891,1.136,402,298,34.992,0.744,1.595,0.627,0.913
26,1.324,4.284,9.955,27.168,1.489,1.116,1.486,1.134,11.414,0.907,1.548,109,303,32.735,1.116,1.310,0.763,0.933
27,0.372,2.246,25.586,27.633,0.744,0.651,0.837,0.566,28.963,0.927,0.930,275,303,36.870,0.624,1.478,0.677,0.905
28,0.788,3.353,30.982,28.098,1.116,1.023,1.291,0.777,39.983,0.880,1.342,333,311,33.690,0.855,1.661,0.602,0.905
29,0.268,1.820,63.453,29.587,0.651,0.558,0.653,0.523,19.741,1.000,0.709,682,322,23.199,0.558,1.248,0.801,0.886
30,0.978,3.748,27.540,31.913,1.396,1.023,1.382,0.901,20.122,0.875,1.503,296,351,21.801,1.023,1.533,0.652,0.893
31,0.009,0.263,55.824,32.006,0.093,0.093,0.105,0.105,0.000,1.000,0.132,600,344,135.000,0.093,1.000,1.000,1.000
32,17.322,20.883,42.798,32.471,4.838,5.024,4.923,4.480,18.869,0.499,5.793,465,403,60.141,4.838,1.099,0.910,0.832
33,0.563,3.276,55.731,32.843,0.837,1.023,1.018,0.704,114.313,0.659,1.166,600,353,118.610,0.835,1.447,0.691,0.833
34,0.130,1.370,90.156,33.960,0.465,0.465,0.430,0.384,45.000,0.869,0.501,971,370,68.199,0.458,1.119,0.893,0.789
35,0.078,1.370,90.621,33.960,0.558,0.372,0.519,0.191,29.325,0.521,0.624,974,369,26.565,0.291,2.719,0.368,0.621
36,1.437,5.105,92.668,34.332,1.954,1.116,2.054,0.891,14.795,0.693,2.060,996,378,18.435,0.989,2.305,0.434,0.876
37,0.710,3.440,58.987,35.262,1.396,0.651,1.357,0.666,6.763,0.754,1.408,634,384,7.595,0.651,2.037,0.491,0.916
38,0.130,1.370,41.961,35.448,0.465,0.465,0.446,0.370,163.997,0.869,0.526,452,381,135.000,0.441,1.205,0.830,0.769
39,0.225,1.665,53.777,36.472,0.558,0.465,0.606,0.473,17.108,1.000,0.671,578,397,33.690,0.465,1.283,0.779,0.929
40,0.087,0.976,88.760,36.658,0.372,0.279,0.369,0.299,0.000,1.000,0.416,954,394,153.435,0.279,1.236,0.809,0.909
41,0.632,2.959,88.109,38.053,1.116,0.744,1.112,0.724,12.108,0.907,1.177,947,414,18.435,0.744,1.536,0.651,0.918
42,1.446,5.282,50.056,38.146,1.582,1.675,1.863,0.988,53.140,0.651,1.936,539,427,54.782,1.248,1.886,0.530,0.807
